Início,Término,Bacia,Ativo,Operador,Ambiente,Lâmina d'água,Código (ANP),Objetivo,Sonda,Info
1983-03-24,1983-04-04,Recôncavo,,Petrobras,TERRA,0,7RO72BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-05-04,1983-05-26,Recôncavo,,Petrobras,TERRA,0,7RO73DBA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-05-31,1983-06-08,Recôncavo,,Petrobras,TERRA,0,7RO74BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-06-15,1983-06-26,Recôncavo,,Petrobras,TERRA,0,7RO75BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-12-19,1984-01-01,Recôncavo,,Petrobras,TERRA,0,7RO76BA,produção,SONDA CONVENCIONAL 27,Sonda Deslocada
1983-01-01,1983-01-20,Recôncavo,,Petrobras,TERRA,0,7ROV17BA,produção,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-01-29,1983-02-14,Recôncavo,,Petrobras,TERRA,0,7ROV18BA,produção,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-02-20,1983-03-20,Recôncavo,,Petrobras,TERRA,0,8ROV19BA,produção,SONDA CONVENCIONAL 34,Sonda Deslocada
1983-11-08,1983-12-24,Recôncavo,,Petrobras,TERRA,0,7RPJ10BA,produção,SONDA CONVENCIONAL 79,Sonda Deslocada
1983-11-22,1983-12-09,Recôncavo,,Petrobras,TERRA,0,7RPJ11BA,produção,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-12-12,1983-12-25,Recôncavo,,Petrobras,TERRA,0,7RPJ11DBA,produção,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-12-04,1983-12-22,Recôncavo,,Petrobras,TERRA,0,7RPJ12BA,produção,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-04-14,1983-05-09,Recôncavo,,Petrobras,TERRA,0,7RPJ4BA,produção,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-05-19,1983-06-05,Recôncavo,,Petrobras,TERRA,0,7RPJ5BA,produção,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-06-13,1983-07-23,Recôncavo,,Petrobras,TERRA,0,7RPJ6BA,produção,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-08-02,1983-08-20,Recôncavo,,Petrobras,TERRA,0,7RPJ7BA,produção,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-10-08,1983-11-14,Recôncavo,,Petrobras,TERRA,0,7RPJ8BA,produção,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-10-24,1983-11-11,Recôncavo,,Petrobras,TERRA,0,7RPJ9BA,produção,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-02-23,1983-03-08,Recôncavo,,Petrobras,TERRA,0,4RS25BA,exploração,ND,N.D.
1983-03-14,1983-03-23,Recôncavo,,Petrobras,TERRA,0,7RS26BA,produção,ND,N.D.
1983-01-14,1983-02-25,Recôncavo,,Petrobras,TERRA,0,7RSP8BA,produção,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-03-07,1983-03-18,Recôncavo,,Petrobras,TERRA,0,1SDS1BA,exploração,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-10-26,1983-11-02,Recôncavo,,Petrobras,TERRA,0,3SDS2BA,exploração,SONDA CONVENCIONAL 95,Sonda Deslocada
1983-01-16,1983-02-22,Recôncavo,,Petrobras,TERRA,0,7SI23BA,produção,SONDA CONVENCIONAL 80,Sonda Deslocada
1983-02-08,1983-03-08,Recôncavo,,Petrobras,TERRA,0,7SI24BA,produção,ND,N.D.
1983-03-05,1983-03-31,Recôncavo,,Petrobras,TERRA,0,7SI25BA,produção,SONDA CONVENCIONAL 80,Sonda Deslocada
1983-05-28,1983-06-24,Recôncavo,,Petrobras,TERRA,0,7SI27BA,produção,SONDA CONVENCIONAL 80,Sonda Deslocada
1983-06-14,1983-07-04,Recôncavo,,Petrobras,TERRA,0,7SI28BA,produção,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-07-11,1983-07-29,Recôncavo,,Petrobras,TERRA,0,7SI29BA,produção,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-09-15,1983-10-11,Recôncavo,,Petrobras,TERRA,0,7SI30BA,produção,SONDA CONVENCIONAL 80,Sonda Deslocada
1983-10-23,1983-11-13,Recôncavo,,Petrobras,TERRA,0,7SI31BA,produção,SONDA CONVENCIONAL 80,Sonda Deslocada
1983-11-22,1983-12-16,Recôncavo,,Petrobras,TERRA,0,7SI32BA,produção,SONDA CONVENCIONAL 80,Sonda Deslocada
1983-12-25,1984-01-19,Recôncavo,,Petrobras,TERRA,0,7SI33BA,produção,SONDA CONVENCIONAL 80,Sonda Deslocada
1983-04-11,1983-05-16,Recôncavo,,Petrobras,TERRA,0,8SI26BA,produção,SONDA CONVENCIONAL 80,Sonda Deslocada
1983-08-29,1983-09-13,Recôncavo,,Petrobras,TERRA,0,3SP15BA,exploração,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-09-04,1983-09-26,Recôncavo,,Petrobras,TERRA,0,3SP16BA,exploração,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-07-19,1983-08-14,Recôncavo,,Petrobras,TERRA,0,7SUS16BA,produção,ND,N.D.
1983-09-01,1983-09-17,Recôncavo,,Petrobras,TERRA,0,7SUS17BA,produção,ND,N.D.
1983-02-11,1983-03-03,Recôncavo,,Petrobras,TERRA,0,4TQ116BA,exploração,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-04-17,1983-04-30,Recôncavo,,Petrobras,TERRA,0,7TA3BA,produção,SONDA CONVENCIONAL 78,Sonda Deslocada
1983-03-19,1983-04-06,Recôncavo,,Petrobras,TERRA,0,7TQ117BA,produção,SONDA CONVENCIONAL 77,Sonda Deslocada
1983-05-26,1983-06-03,Recôncavo,,Petrobras,TERRA,0,7TQ119BA,produção,SONDA CONVENCIONAL 66,Sonda Deslocada
1983-06-08,1983-06-26,Recôncavo,,Petrobras,TERRA,0,7TQ120BA,produção,SONDA CONVENCIONAL 66,Sonda Deslocada
1983-08-12,1983-08-20,Recôncavo,,Petrobras,TERRA,0,7TQ122BA,produção,SONDA CONVENCIONAL 43,Sonda Deslocada
1983-05-10,1983-05-19,Recôncavo,,Petrobras,TERRA,0,8TQ118BA,produção,SONDA CONVENCIONAL 66,Sonda Deslocada
1983-07-02,1983-07-11,Recôncavo,,Petrobras,TERRA,0,8TQ121BA,produção,SONDA CONVENCIONAL 66,Sonda Deslocada
1983-08-09,1983-09-01,Recôncavo,,ND,TERRA,0,7JM3BA,produção,ND,N.D.
1983-03-29,1983-04-07,Recôncavo,,ND,TERRA,0,1QB4ABA,exploração,ND,N.D.
1983-04-11,1983-04-17,Recôncavo,,ND,TERRA,0,1QB5BA,exploração,ND,N.D.
1983-04-23,1983-04-29,Recôncavo,,ND,TERRA,0,1QB6BA,exploração,ND,N.D.
1983-05-03,1983-05-08,Recôncavo,,ND,TERRA,0,1QB7BA,exploração,ND,N.D.
1983-03-21,1983-05-03,Santos,Brasil,ND,MAR,60,1PRS2PR,exploração,ND,N.D.
1983-12-28,1984-03-10,Santos,,Petrobras,MAR,122,1SPS20SP,exploração,ND,N.D.
1983-04-29,1983-05-06,Sergipe,,Petrobras,TERRA,0,7AN9SE,produção,SONDA CONVENCIONAL 92,Sonda Deslocada
1983-11-29,1983-12-09,Sergipe,Brasil,ND,TERRA,0,1CAV2SE,exploração,ND,N.D.
1983-01-04,1983-03-01,Sergipe,Brasil,ND,TERRA,0,1FCO1SE,exploração,ND,N.D.
1983-01-18,1983-03-08,Sergipe,Brasil,ND,TERRA,0,1FSJ1SE,exploração,SONDA CONVENCIONAL 41,Sonda Deslocada
1983-10-27,1983-11-21,Sergipe,Brasil,ND,TERRA,0,1IPA1SE,exploração,ND,N.D.
1983-03-06,1983-03-11,Sergipe,Brasil,ND,TERRA,0,1LA1SE,exploração,SONDA CONVENCIONAL 92,Sonda Deslocada
1983-04-22,1983-06-09,Sergipe,Brasil,ND,MAR,29,1SES68SE,exploração,ND,N.D.
1983-09-01,1983-10-14,Sergipe,Brasil,ND,MAR,28,1SES74SE,exploração,ND,N.D.
1983-09-06,1983-09-28,Sergipe,Brasil,ND,MAR,25,1SES76ASE,exploração,PETROBRAS V,Sonda Deslocada
1983-09-02,1983-09-02,Sergipe,Brasil,ND,MAR,25,1SES76SE,exploração,PETROBRAS V,Sonda Deslocada
1983-11-07,1984-01-08,Sergipe,Brasil,ND,MAR,19,1SES82SE,exploração,ND,N.D.
1983-06-29,1983-07-26,Sergipe,Brasil,ND,TERRA,0,1SSC1SE,exploração,ND,N.D.
1983-03-01,1983-03-30,Sergipe,Brasil,ND,MAR,9,3SES55SE,exploração,PETROBRAS I,Sonda Deslocada
1983-06-02,1983-07-14,Sergipe,Brasil,ND,MAR,11,4SES79SES,exploração,PETROBRAS I,Sonda Deslocada
1983-10-19,1983-12-14,Sergipe,Brasil,ND,MAR,12,4SES80SE,exploração,PETROBRAS I,Sonda Deslocada
1983-07-27,1983-08-31,Sergipe,Brasil,ND,MAR,22,4SES81SE,exploração,PETROBRAS I,Sonda Deslocada
1983-12-24,1984-02-07,Sergipe,Brasil,ND,MAR,13,4SES84SES,exploração,PETROBRAS I,Sonda Deslocada
1983-11-20,1983-12-09,Sergipe,Brasil,ND,TERRA,0,7CG5DSE,exploração,SONDA CONVENCIONAL 40,Sonda Deslocada
1983-07-04,1983-07-14,Sergipe,CAU,EPG Brasil,TERRA,0,3CAU4SE,exploração,SONDA CONVENCIONAL 92,Sonda Deslocada
1983-02-04,1983-03-23,Sergipe,,Petrobras,MAR,31,4SES67SES,exploração,ND,N.D.
1983-02-01,1983-03-13,Sergipe,,Petrobras,MAR,26,7CB30DSES,produção,PETROBRAS V,Sonda Deslocada
1983-03-22,1983-05-08,Sergipe,,Petrobras,MAR,26,7CB31DSES,produção,PETROBRAS V,Sonda Deslocada
1983-05-23,1983-08-02,Sergipe,,Petrobras,MAR,26,7CB32DSES,produção,PETROBRAS V,Sonda Deslocada
1983-07-19,1983-08-23,Sergipe,,EPG Brasil,TERRA,0,7CG3DSE,produção,SONDA CONVENCIONAL 40,Sonda Deslocada
1983-09-14,1983-10-09,Sergipe,,EPG Brasil,TERRA,0,7CG4DSE,produção,SONDA CONVENCIONAL 40,Sonda Deslocada
1983-05-31,1983-06-19,Sergipe,,EPG Brasil,TERRA,0,9CG2SE,N.D.,SONDA CONVENCIONAL 40,Sonda Deslocada
1983-04-05,1983-04-13,Sergipe,,Petrobras,TERRA,0,9CL25SE,N.D.,ND,N.D.
1983-11-10,1983-11-12,Sergipe,,Petrobras,TERRA,0,9CL26SE,N.D.,SONDA CONVENCIONAL 75,Sonda Deslocada
1983-11-13,1983-11-16,Sergipe,,Petrobras,TERRA,0,9CL27SE,N.D.,SONDA CONVENCIONAL 75,Sonda Deslocada
1983-11-18,1983-11-20,Sergipe,,Petrobras,TERRA,0,9CL28SE,N.D.,SONDA CONVENCIONAL 75,Sonda Deslocada
1983-11-22,1983-11-26,Sergipe,,Petrobras,TERRA,0,9CL29SE,N.D.,SONDA CONVENCIONAL 75,Sonda Deslocada
1983-11-28,1983-11-30,Sergipe,,Petrobras,TERRA,0,9CL30SE,N.D.,SONDA CONVENCIONAL 75,Sonda Deslocada
1983-12-01,1983-12-04,Sergipe,,Petrobras,TERRA,0,9CL31SE,N.D.,SONDA CONVENCIONAL 75,Sonda Deslocada
1983-09-08,1983-10-07,Sergipe,,Petrobras,MAR,19,3CM38SES,exploração,PETROBRAS I,Sonda Deslocada
1983-01-11,1983-02-11,Sergipe,,Petrobras,MAR,7,3SES71SE,exploração,PETROBRAS I,Sonda Deslocada
1983-01-20,1983-02-24,Sergipe,,Petrobras,MAR,28,3SES72SE,exploração,ND,N.D.
1983-04-29,1983-06-02,Sergipe,,Petrobras,MAR,24,4SES73SE,exploração,ND,N.D.
1983-03-21,1983-04-09,Sergipe,,Petrobras,MAR,21,4SES77SE,exploração,ND,N.D.
1983-07-08,1983-08-02,Sergipe,,Petrobras,TERRA,0,1CPL1ASE,exploração,SONDA CONVENCIONAL 41,Sonda Deslocada
1983-06-19,1983-07-03,Sergipe,,Petrobras,TERRA,0,1CPL1SE,exploração,SONDA CONVENCIONAL 41,Sonda Deslocada
1983-08-07,1983-08-29,Sergipe,,Petrobras,TERRA,0,1CPL2SE,exploração,ND,N.D.
1983-01-17,1983-01-24,Sergipe,,Petrobras,TERRA,0,7CP709SE,produção,SONDA CONVENCIONAL 76,Sonda Deslocada
